地段位置或門牌,總價(萬元),總面積(坪),總價/總面積,型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運站,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,汙水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速道路,高鐵,
桃園市楊梅區上湖里22鄰中山南路800巷176號,220,29.93,7.350484464,公寓(5樓含以下無電梯),27,1,0,3,2,2,1,0,2.247316781,4.738372207,15.23143295,12.05531756,10.82589578,14.29646596,7.308308641,5.564630545,4.31684766,4.557163832,2.415883392,4.507654805,12.20430386,7.868911454,4.482340275,4.78615609,15.93893199,1.00288348,15.35352964,24.26592829,6.300055324,17.15775794,
桃園市中壢區五福里3鄰五族街187之2號,156,21.09,7.396870555,華廈(10層含以下有電梯),28,1,1,4,1,2,1,1,0.776996762,1.477120712,7.05654247,1.64363401,0.94719172,1.628761674,5.461606724,0.141414531,1.986816301,0.435863906,0.415768474,0.112630159,0.733358009,3.743212783,5.365398344,5.477995648,16.31527155,6.774329517,2.780443065,13.87107422,2.180979687,6.353066372,
桃園市龜山區大華里7鄰文東五街53號,173.9,23.33,7.453921989,華廈(10層含以下有電梯),26,1,0,2,2,2,1,1,5.650595421,8.325868887,6.103762558,7.35643281,6.504205509,1.473769322,1.155193792,1.276121001,0.460901505,0.508141038,0.310381632,0.946906959,1.13768501,1.465261,0.867664978,5.011963968,2.048611107,1.727101568,5.752318999,13.31064229,2.078831181,10.97840073,
桃園市楊梅區上湖里22鄰中山南路800巷178號,230,30.65,7.504078303,公寓(5樓含以下無電梯),27,1,0,3,2,2,1,0,2.249387846,4.73284596,15.23495116,12.05797685,10.82608075,14.29436207,7.306662091,5.564410313,4.316772254,4.556552141,2.411491815,4.503054631,12.20219457,7.86793544,4.479041671,4.780477278,15.93328328,1.00225365,15.3512583,24.26191039,6.2999741,17.15430845,
桃園市龜山區龜山里24鄰自強東路170巷1號,230,30.43,7.558330595,公寓(5樓含以下無電梯),35,1,0,3,2,1,0,0,1.52798624,3.023084078,5.070798634,3.173832347,2.285860038,6.590241706,2.248301158,0.570684417,0.632592025,0.348974847,0.295033262,0.510589667,3.355094511,2.531380586,2.417483332,3.297290411,4.964929238,1.782561792,4.063196383,14.41614537,7.480161885,12.30396671,
桃園市龍潭區高原里19鄰福源路286巷12號,200,26.16,7.645259939,公寓(5樓含以下無電梯),23,1,0,2,2,1,0,0,5.028641251,10.36937837,4.630883132,5.657714036,10.0289296,16.17683595,11.48075927,6.134239597,6.27285319,5.083874496,0.990628428,4.014227453,5.656876178,10.78603849,6.424903275,15.38234091,26.50642893,3.832469186,17.28106645,28.59709514,9.440691734,21.04017707,
桃園市楊梅區裕新里12鄰裕成南路364號,220,28.11,7.8263963,住宅大樓(11層含以上有電梯),24,3,0,3,2,2,1,1,1.989561906,2.011094596,10.87950988,7.202869574,5.552047547,10.06686466,3.406418684,1.083858774,1.319293988,1.027281328,1.395339803,0.975563969,7.674084684,3.291355636,3.444275743,7.149023244,18.14618801,4.395567157,11.21099462,21.54634421,1.368994719,14.00067984,
桃園市大溪區一德里21鄰文化路273巷39弄7號,150,18.86,7.953340403,公寓(5樓含以下無電梯),39,1,0,1,1,1,0,0,2.039858945,10.78220108,6.556579059,7.061626729,9.040206339,12.32445916,0.595931083,5.276935178,0.664119163,0.774045147,0.688906937,0.909950796,6.74310272,12.49143005,2.46826527,13.56714601,19.21114616,1.751854679,12.86919423,23.36053396,3.024245026,17.10865611,
桃園市楊梅區瑞塘里31鄰福羚路64號,220,27.12,8.112094395,住宅大樓(11層含以上有電梯),27,1,0,2,2,2,1,1,0.300998617,1.409785441,10.38764312,6.432462802,3.456117473,7.998762863,2.251568043,1.840721994,1.266996381,1.324919711,0.426082785,0.582733012,6.092066879,1.503169135,2.209688996,7.92461085,18.43639123,5.485758473,9.153559583,19.8333347,1.091157734,12.23488804,
桃園市觀音區富源里13鄰富信路91巷6弄17號,202,24.82,8.138597905,華廈(10層含以下有電梯),26,1,0,3,1,1,1,1,1.955042681,6.716768163,8.858819102,8.285237891,7.00298763,6.428849513,5.571696318,4.065957814,4.482843056,1.494851883,0.416580815,2.796139647,6.048386073,6.090947834,5.604535786,5.187131222,11.49388148,5.585411185,8.077104354,14.57565229,4.722267605,8.004391168,
桃園市龜山區幸福里22鄰幸福二十三街18號,215,26.29,8.178014454,公寓(5樓含以下無電梯),35,1,0,3,2,2,0,0,1.501530965,2.407016095,4.118831533,2.304784914,2.17303241,7.753825972,1.887128249,1.001702131,0.656380021,0.687389002,0.854131816,0.6369641,2.782952602,1.630815586,1.681217817,4.009613091,6.059332428,1.331177662,4.571346262,14.74454219,7.434527439,12.87344784,
桃園市楊梅區頭湖里12鄰湖山街18巷2弄9號,430,52.18,8.240705251,公寓(5樓含以下無電梯),25,1,0,4,2,2,1,0,1.84552432,2.948783191,14.62142568,11.14048619,9.219744564,12.35734882,5.416294527,3.889944214,2.753883191,2.875405275,2.287555312,2.824248371,10.26551458,6.036577032,2.533336085,4.039640015,15.27014491,1.119985426,13.4047382,22.37244462,4.687608709,15.21116941,
桃園市中壢區和平里6鄰文成北街17號,200,23.79,8.406893653,公寓(5樓含以下無電梯),40,1,0,3,2,1,0,0,0.271318139,3.904785716,4.932442763,3.381266547,4.043806205,3.340652893,5.260170468,1.64046295,0.623625955,0.447467847,0.081747726,0.996734081,3.999667686,1.268391491,2.054943831,1.415212045,11.49219966,4.685647438,2.504632466,11.26595646,1.765332646,5.380781715,
桃園市楊梅區瑞坪里11鄰文化街351巷22號,230,27.27,8.434176751,公寓(5樓含以下無電梯),38,1,0,3,2,1,0,0,0.771010002,1.278217491,9.873348205,5.889696601,2.826717045,7.752440424,2.689636681,2.505775264,0.879972008,1.107663497,0.194305445,0.221688984,5.935419586,1.749151118,1.823654181,8.572691044,18.99313319,5.277369731,8.910115821,19.77932335,1.759016041,12.17392206,
桃園市龜山區嶺頂里16鄰幸美街72號,220,26.05,8.445297505,公寓(5樓含以下無電梯),27,1,0,3,2,1,0,0,2.776316341,4.24945804,6.192659499,4.327561477,3.528800628,5.835199287,3.490304148,1.819172738,1.786820005,1.095325385,0.866572791,1.736188529,4.591409371,3.661576246,3.605808975,4.113883848,4.587846287,3.012083522,5.012181792,15.36879406,7.938653606,11.06738593,
桃園市楊梅區永寧里30鄰東森路49號,350,40.23,8.699975143,華廈(10層含以下有電梯),15,2,2,1,2,1,1,1,2.517873772,3.450955801,9.613598487,6.116723262,5.594554409,10.79446148,4.600505814,2.471728246,2.626518818,2.456038686,2.248956245,1.313630948,6.572726132,4.219984368,4.266130646,8.516667922,19.56162324,3.667217128,11.95124534,22.60568097,2.460074568,15.01839129,
桃園市龍潭區大平里19鄰民治三街141號,106,12.01,8.825978351,公寓(5樓含以下無電梯),31,1,0,1,1,1,1,0,4.737329454,12.1399426,0.672569385,5.370591206,10.61366849,16.33586064,8.212754691,6.127295369,5.769960425,4.834033917,1.931478889,2.109158872,4.963029158,12.84054358,1.306493468,18.95257734,26.57151232,5.841294476,17.27617661,28.65948362,8.227326743,21.46007523,
桃園市中壢區自強里13鄰富村街30巷1號,400,45.15,8.859357697,住宅大樓(11層含以上有電梯),25,1,1,3,1,2,1,1,0.730565788,3.69132317,4.281211247,3.290763563,4.305156874,3.691257269,4.689025806,0.56289407,0.176226867,0.537402183,0.463331651,0.25387985,3.806182609,2.125525908,3.295204611,2.671098885,11.74189551,5.966434916,3.203514945,12.48575733,2.94304874,6.617062949,
桃園市楊梅區青山里10鄰青山二街382號,315,35.45,8.885754584,住宅大樓(11層含以上有電梯),27,2,1,2,2,1,1,1,1.534381598,1.240285729,11.59138034,7.060257478,3.877764182,7.301246552,0.980952704,1.668317598,1.604419741,1.358156373,1.227970859,1.577820989,5.283331629,0.530896419,0.931792702,7.029093674,17.28446148,6.345178749,8.435683166,18.80043979,0.472940385,11.22866937,
桃園市楊梅區永平里16鄰青山三街69號,386,43.37,8.900161402,華廈(10層含以下有電梯),27,2,1,3,2,2,1,1,1.449663846,1.2644987,11.53346657,7.138456766,3.888811086,7.387633784,1.052358871,1.621942606,1.598789745,1.369226352,1.134905767,1.481929118,5.373228951,0.607032219,1.009929697,7.040694425,17.33152732,6.285468973,8.523281157,18.89689488,0.562569074,11.32476822,
桃園市楊梅區楊明里9鄰中山北路一段390巷45號,201.6,22.41,8.995983936,華廈(10層含以下有電梯),28,1,0,3,2,1,1,1,1.677689403,1.278127884,11.6224205,7.781709882,5.153109432,9.01601487,2.154868119,0.227242921,1.330994051,0.409084108,0.125358745,0.344349236,6.979428209,2.25301692,2.205651494,6.423603899,17.22680739,4.730246496,10.14436294,20.30076296,0.647817786,12.7771928,
桃園市平鎮區宋屋里32鄰廣泰路232巷95號,330,36.28,9.095920617,公寓(5樓含以下無電梯),27,1,0,3,2,2,0,0,0.700314303,2.590000295,8.77963145,3.040750356,2.738188396,3.400395623,3.974520158,0.459334106,1.474783884,1.224446504,0.301364384,0.858159995,1.719080996,3.403903302,3.865670043,7.205520991,17.90745233,7.593384001,4.557890336,15.59427616,1.615852102,8.024180901,
桃園市龍潭區大平里19鄰民治三街151號,110,12.01,9.159034138,華廈(10層含以下有電梯),30,1,0,1,1,1,1,1,4.757131742,12.15937127,0.67252533,5.391240407,10.63518515,16.35858752,8.232855964,6.150337881,5.791446114,4.853989376,1.952181003,2.132457951,4.984174547,12.8594187,1.294074251,18.97583443,26.5938165,5.858874204,17.2990915,28.68257664,8.250104787,21.48274943,
桃園市龍潭區東興里9鄰中興路63巷14弄1衖2號,240,26.2,9.160305344,華廈(10層含以下有電梯),27,1,0,4,2,2,1,1,2.643866238,7.439526631,4.290663497,2.189047623,5.248493922,10.50672708,4.916128534,0.363532805,1.720965982,0.898568474,0.62180491,0.835077793,2.014855346,8.281272743,4.440724881,13.06492307,21.25557142,2.822806848,11.40943563,22.76798002,3.196469139,15.63325999,
桃園市桃園區春日里11鄰春日路1259巷10之4號,267.7,29.22,9.161533196,公寓(5樓含以下無電梯),38,1,0,2,2,1,0,0,0.691231969,3.194911406,3.715379183,1.000228299,0.525363387,7.484135191,2.47939598,0.234592479,1.317170699,0.239576104,0.185015354,0.619404055,1.536243658,3.971474885,3.590396041,1.700772156,4.442805974,0.642375876,0.798452149,10.20333785,3.504946129,9.505741134,
桃園市龍潭區三林里17鄰民族路416巷19之4號,410,44.74,9.164059008,公寓(5樓含以下無電梯),29,1,1,2,2,2,1,0,3.086496273,10.49109435,0.65881261,3.697707111,8.933744146,14.6872047,7.343592563,4.522487598,4.089973025,3.178251079,1.038545794,0.890023938,3.283995284,11.20741138,1.760384409,17.38073781,25.30926681,5.333819469,15.64241722,27.04514681,6.927310319,19.80736083,
桃園市楊梅區永平里14鄰青山三街119號,330,35.75,9.230769231,華廈(10層含以下有電梯),26,2,1,2,2,1,1,1,1.438900156,1.373785203,11.56626619,7.24949324,3.989822434,7.491786838,1.052053176,1.507764127,1.690786702,1.472173399,1.09854015,1.427176164,5.472497602,0.718472568,1.022305555,6.958377593,17.28559676,6.169399364,8.625925191,18.97191781,0.607195924,11.40412238,
桃園市楊梅區頭湖里11鄰湖山街28巷52號,250,26.97,9.269558769,公寓(5樓含以下無電梯),25,1,0,3,2,1,1,0,1.700168248,2.963857541,14.51934583,11.05708056,9.205846476,12.41698773,5.456369508,3.905392407,2.732389472,2.860106483,2.34646375,2.968801298,10.32482533,6.063771355,2.636983626,4.179153754,15.41509249,1.002151944,13.4695736,22.4862105,4.667908782,15.31027607,
桃園市桃園區龍安里11鄰國豐三街215號,400,43.14,9.272137228,華廈(10層含以下有電梯),28,2,1,3,2,2,1,1,1.685094109,3.722815479,3.171298168,3.506450314,4.286443201,6.30152252,4.432926528,1.761334023,1.548100968,0.254619867,0.473728126,1.396834044,3.348930222,4.163216566,2.994620681,2.896141476,8.554251415,4.619570468,4.918421881,10.63669889,2.55728443,6.837304782,
桃園市楊梅區頭湖里7鄰湖山街27號,250,26.9,9.293680297,公寓(5樓含以下無電梯),25,1,0,3,2,1,1,0,1.817868365,2.825666517,14.53128967,11.03839485,9.096961136,12.24363338,5.296850944,3.766907877,2.632360198,2.753052899,2.172823908,2.789996865,10.15164922,5.914862157,2.442964697,4.088818772,15.30485765,1.197300208,13.29294738,22.29104534,4.565577324,15.11774829,
桃園市楊梅區青山里13鄰青山三街64號,500,53.65,9.319664492,華廈(10層含以下有電梯),27,2,1,3,2,2,1,1,1.479267444,1.271701324,11.56066919,7.12636622,3.900380788,7.371323669,1.023258792,1.620730515,1.614540337,1.380344561,1.163661213,1.509222478,5.354781319,0.595198499,0.980410001,7.022765722,17.30605634,6.289536138,8.506271582,18.8720731,0.533450309,11.30076517,
桃園市楊梅區青山里15鄰青山五街10巷1號,465,49.84,9.329855538,住宅大樓(11層含以上有電梯),26,2,1,3,2,2,1,1,1.633318973,1.305973077,11.69671849,7.052053427,3.950656139,7.275852486,0.875766063,1.63735996,1.691004263,1.434010566,1.316781486,1.657429192,5.249172213,0.541339941,0.828479965,6.942370708,17.18119739,6.326931917,8.40718439,18.73544881,0.379863093,11.16798969,
桃園市中壢區自立里22鄰榮安一街480號,500,53.52,9.342301943,住宅大樓(11層含以上有電梯),18,3,1,3,2,2,1,1,0.863217786,3.115637065,4.765205564,2.744395194,3.83257085,3.262304152,4.783501039,0.456306695,0.578674587,0.251995247,0.306723592,0.746689481,3.232546947,2.023250408,3.608504375,2.966283448,12.34380718,6.130200137,2.936561195,12.8190548,2.980502233,6.661205458,
桃園市龍潭區三林里6鄰富華街三林段552巷8號,165,17.63,9.359047079,公寓(5樓含以下無電梯),27,1,0,2,1,1,0,0,3.032904566,10.42570561,1.088410421,3.692345259,8.968392665,14.80074982,7.753510884,4.680941878,4.136304119,3.13335156,1.468506527,1.325867257,3.31230245,11.12119815,2.186456923,17.31401148,25.62441395,5.319906121,15.77395212,27.19179303,7.252521496,19.91231129,
桃園市楊梅區高榮里3鄰梅高路二段668巷15弄40號,250,26.7,9.36329588,公寓(5樓含以下無電梯),39,1,0,2,2,2,0,0,0.955652615,4.055729515,10.38874518,7.735035494,6.666558731,7.331804675,2.978718478,3.793859921,4.777683566,1.530137047,1.478259718,0.175422963,5.387263114,3.617595613,3.044559048,4.446361683,13.45791191,6.902895911,8.207202903,16.59420953,3.530159259,9.445059475,
桃園市大園區南港里25鄰大觀路1156巷6弄18號,317,33.8,9.378698225,住宅大樓(11層含以上有電梯),25,3,1,3,2,1,0,1,1.170745329,13.17740538,7.125133274,12.8087889,11.6828414,6.115399658,7.156906431,0.769892806,1.602029385,1.997705092,1.839547865,1.284055197,8.17210394,4.130218183,2.956155287,8.351690709,11.09845139,2.69259879,11.15221139,8.063181898,10.91667903,7.277962818,
桃園市龜山區迴龍里7鄰宏慶街66號,22.1,2.35,9.404255319,公寓(5樓含以下無電梯),36,1,0,3,1,1,0,0,8.727218601,10.30918676,11.59269292,10.44736746,9.402239564,2.026014936,2.94762801,4.631055843,0.284054487,0.423424254,0.637736498,0.637736498,6.578716669,5.715313758,5.191376987,8.722760084,4.240781642,5.18539542,9.754411096,19.09551671,6.520731139,5.307485818,
桃園市大溪區美華里18鄰復興路一段218巷65弄47號,315,33.33,9.450945095,華廈(10層含以下有電梯),29,1,0,3,2,2,1,1,3.770825755,12.48461156,6.21438805,7.700393875,10.44887465,14.04122093,2.330947666,6.20605295,1.305364361,2.323295815,1.278914325,2.108257541,7.309723768,13.8350249,3.89734197,15.30330859,20.58634944,1.451286423,14.60399277,25.08386039,4.614788355,18.84921015,
桃園市楊梅區永平里15鄰青山三街85號,470,49.62,9.471987102,華廈(10層含以下有電梯),26,2,1,3,2,2,1,1,1.424531316,1.297895338,11.52604503,7.185279594,3.915989973,7.434927933,1.070952685,1.583563025,1.620006444,1.397621873,1.101166534,1.443231666,5.420252607,0.653953412,1.033077669,7.024485041,17.33307305,6.2425071,8.570530473,18.93991838,0.59556577,11.36870027,
桃園市新屋區清華里4鄰清文路292巷156號,268,28.2,9.503546099,華廈(10層含以下有電梯),27,1,0,3,2,1,0,1,3.467379397,5.73307086,11.40057343,11.25970526,9.996017451,9.173837822,7.289200674,1.208770329,1.572393744,1.657180309,0.347224863,1.132357207,8.975907993,7.987754106,5.764630177,3.529151818,9.064802197,6.048712218,11.08798489,16.50312938,7.584323472,10.63231117,
桃園市中壢區復華里11鄰復華三街126號,810,85.11,9.517095523,華廈(10層含以下有電梯),30,1,4,4,2,2,1,1,0.716426331,2.725629144,5.442391803,2.249020054,3.15722918,2.528409612,5.626880783,1.295103642,1.257839062,0.803991132,0.586165418,0.314850665,2.829778302,1.22460966,3.154250252,2.516866072,12.61876552,5.455905506,2.096540415,12.30284615,2.247252212,5.892052944,
桃園市平鎮區華安里30鄰新華路36號,400,41.97,9.530617107,華廈(10層含以下有電梯),24,1,0,3,2,2,1,1,3.246238822,4.918125268,8.146155424,5.313106108,4.072059304,6.5140997,5.25377215,3.629576329,1.933115172,3.548160467,0.259614038,0.150790549,4.965862045,7.097154414,5.166150542,8.520191274,16.85415058,2.06665421,7.209188917,18.32547216,3.017669132,11.50323511,
桃園市楊梅區東流里19鄰甡甡路902巷122號,265,27.75,9.54954955,公寓(5樓含以下無電梯),23,1,0,3,2,2,0,0,1.158703503,4.169146388,13.98428055,10.84526914,9.896383819,13.77896474,6.737427257,4.74177597,3.49568902,3.829974274,3.481369669,3.69407767,11.27930414,7.156670373,4.373704516,5.641027389,16.8939754,0.944041015,14.86984368,24.22062272,5.442382481,16.96042076,
桃園市大園區溪海里20鄰溪海路151號,280,29.24,9.575923393,公寓(5樓含以下無電梯),27,1,0,3,2,2,1,0,3.179331969,9.729309474,3.21059763,9.292482477,8.313992703,2.535872557,3.239725843,3.034461342,3.200895433,3.915254618,1.323228636,2.800038714,6.583404362,7.588658424,4.913335061,7.614101298,11.22066232,1.376645239,7.475890564,6.597546902,7.060297251,3.382823346,
桃園市龍潭區上華里6鄰金龍路347巷2號,420,43.64,9.624197984,公寓(5樓含以下無電梯),25,1,1,4,2,2,1,0,1.100356729,8.285522981,2.899121548,1.833402896,7.031157599,13.04596303,7.928916088,2.690229729,2.418981553,1.214168247,0.329768126,0.617998551,1.654515513,8.956965237,3.85952286,15.14207696,24.74625307,3.351430539,14.07377537,25.50704236,6.70176325,18.1094474,
桃園市大園區溪海里20鄰溪海路105巷56號,265,27.07,9.789434799,公寓(5樓含以下無電梯),27,1,0,3,1,2,1,0,3.145492433,9.701734002,3.171826185,9.263819801,8.288198993,2.501407643,3.201007893,3.043737067,3.211180811,3.889405417,1.348946802,2.836193126,6.570145977,7.627094455,4.939393348,7.576585616,11.21212756,1.354299358,7.444607053,6.585705241,7.024916678,3.34666643,
桃園市楊梅區瑞塘里20鄰萬大路35巷9號,205,20.94,9.789875836,公寓(5樓含以下無電梯),40,1,0,2,2,1,0,0,0.707561858,0.994704835,10.50780907,6.526468202,3.182326311,7.583539462,2.059542364,2.121593868,0.906727613,0.917895203,0.55096688,0.681235808,5.680582852,1.178858517,1.999371604,7.975348578,18.3562947,5.786095421,8.738382377,19.43966601,1.384636729,11.83876952,
桃園市新屋區清華里18鄰中華路712巷47號,250,25.48,9.811616954,華廈(10層含以下有電梯),26,1,0,4,2,2,1,1,4.735302673,6.024370964,11.88806963,12.33579008,11.04779871,9.829447965,7.659005316,1.550479678,1.557292418,1.394506081,0.99422254,0.304606897,10.09181933,7.76613525,5.828761834,4.275267848,7.787665496,5.762655377,12.0294333,16.587765,8.732561802,11.18586533,
桃園市楊梅區金溪里2鄰三民東路286號,315,32.08,9.819201995,公寓(5樓含以下無電梯),24,1,1,3,2,2,1,0,0.481997148,2.000343595,9.762232866,5.846224899,3.538236357,8.550528089,2.970847689,2.047589741,1.684490189,1.863112701,0.677630049,0.595885165,6.322912729,2.231564741,2.367277964,8.397836722,19.0460782,4.749982712,9.708073455,20.50192872,1.376786903,12.89855329,
桃園市中壢區五福里3鄰五族街187之2號,104,10.55,9.857819905,華廈(10層含以下有電梯),28,1,1,4,1,2,1,1,0.776996762,1.477120712,7.05654247,1.64363401,0.94719172,1.628761674,5.461606724,0.141414531,1.986816301,0.435863906,0.415768474,0.112630159,0.733358009,3.743212783,5.365398344,5.477995648,16.31527155,6.774329517,2.780443065,13.87107422,2.180979687,6.353066372,
桃園市楊梅區裕新里7鄰裕成南路321號,355,35.91,9.885825675,住宅大樓(11層含以上有電梯),25,3,0,3,2,2,1,1,1.900857057,2.107489608,10.76290355,7.079711005,5.449786692,10.01976407,3.409146635,1.12451642,1.442429163,1.089316771,1.394686539,1.098747526,7.551198063,3.254266425,3.44284686,7.260288865,18.24759596,4.515455673,11.16577377,21.53954883,1.336957322,13.98721288,
桃園市楊梅區裕新里9鄰裕成南路361號,410,41.3,9.927360775,住宅大樓(11層含以上有電梯),25,1,0,4,2,2,1,1,1.909502891,2.068682646,10.80154671,7.11660818,5.464998626,10.01325302,3.387612574,1.093390967,1.405740719,1.054324712,1.391352449,1.062146136,7.5882283,3.244190049,3.42241302,7.221227293,18.20858492,4.489702219,11.15865712,21.52094672,1.324612538,13.97043132,
桃園市龍潭區凌雲里7鄰復興路82號,900,89.33,10.0750028,華廈(10層含以下有電梯),27,2,1,5,2,3,1,1,1.542609255,5.943248387,5.004487328,1.232337008,4.822952785,10.94258045,7.589380945,0.838651932,1.502304564,0.692889024,0.985523608,1.377953657,1.68617008,6.626773142,3.911080922,13.05197723,23.40369839,2.555909304,12.01244708,23.41335803,6.076228054,15.94009964,
桃園市八德區大昌里15鄰介壽路二段428巷17弄1衖7之1號,350,34.68,10.0922722,公寓(5樓含以下無電梯),41,1,0,3,2,1,0,0,3.403277529,5.088311642,2.965503389,4.467892098,6.266728909,7.984157215,0.616144492,4.308209078,1.308763056,0.857308587,1.179939737,2.065131751,5.071346523,4.911843728,5.202793994,7.018034427,11.53701171,5.712674426,7.801081017,16.13157355,6.856658145,11.22329429,
桃園市龍潭區大平里4鄰民治路339號,280,27.66,10.12292119,華廈(10層含以下有電梯),20,2,1,1,1,1,1,1,4.751020232,12.14982517,0.591155248,5.391913557,10.64367375,16.38281846,8.312856487,6.181599482,5.799991282,4.849042266,2.029852754,2.178480485,4.989458529,12.8459425,1.34481399,18.96817622,26.65976508,5.946720006,17.32694599,28.7146817,8.310565102,21.50600117,
桃園市龜山區大坑里3鄰南上路520巷36號,338,33.24,10.16847172,華廈(10層含以下有電梯),29,1,0,3,2,2,0,1,1.458048836,6.10367009,0.928865266,2.984985478,1.562146546,4.75303059,0.914340569,3.022637088,1.296628801,0.947855372,0.74515882,1.530223355,1.756169293,6.809281749,5.08371641,3.115512199,3.704102522,3.022530299,2.549549972,8.400064953,4.383714887,9.966925693,
桃園市楊梅區裕新里7鄰裕成南路319號,450,43.11,10.43841336,住宅大樓(11層含以上有電梯),25,1,1,4,2,2,1,1,1.898433829,2.11417636,10.75595522,7.072895579,5.446210999,10.01993164,3.41212488,1.129436535,1.449231622,1.095051022,1.39337737,1.10554346,7.544368874,3.255111751,3.44561483,7.267216466,18.25436397,4.520753558,11.1660488,21.54193731,1.33828362,13.98926165,
